city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Le Versoud,45.2158,5.8622,France,FR,Auvergne-Rhône-Alpes,,4876,4876
Saint-Vit,47.1814,5.8108,France,FR,Bourgogne-Franche-Comté,,4874,4874
Pompey,48.7681,6.1275,France,FR,Grand Est,,4871,4871
Bretignolles-sur-Mer,46.6278,-1.8550,France,FR,Pays de la Loire,,4868,4868
Coubron,48.9153,2.5775,France,FR,Île-de-France,,4866,4866
Valleiry,46.1081,5.9681,France,FR,Auvergne-Rhône-Alpes,,4866,4866
Vic-en-Bigorre,43.3856,0.0531,France,FR,Occitanie,,4864,4864
Marcheprime,44.6922,-0.8550,France,FR,Nouvelle-Aquitaine,,4860,4860
Saint-Jean-d’Ardières,46.1258,4.7381,France,FR,Auvergne-Rhône-Alpes,,4859,4859
Soufflenheim,48.8297,7.9631,France,FR,Grand Est,,4858,4858
Neuville-aux-Bois,48.0700,2.0539,France,FR,Centre-Val de Loire,,4858,4858
Saint-Saturnin-lès-Avignon,43.9567,4.9303,France,FR,Provence-Alpes-Côte d’Azur,,4857,4857
Graveson,43.8511,4.7733,France,FR,Provence-Alpes-Côte d’Azur,,4857,4857
Saint-Marcellin-en-Forez,45.4972,4.1672,France,FR,Auvergne-Rhône-Alpes,,4856,4856
Sangatte,50.9467,1.7567,France,FR,Hauts-de-France,,4852,4852
Mondonville,43.6711,1.2875,France,FR,Occitanie,,4850,4850
Cazères,43.2064,1.0858,France,FR,Occitanie,,4846,4846
Bar-sur-Aube,48.2331,4.7064,France,FR,Grand Est,minor,4844,4844
Limas,45.9756,4.7056,France,FR,Auvergne-Rhône-Alpes,,4843,4843
Cessy,46.3192,6.0700,France,FR,Auvergne-Rhône-Alpes,,4843,4843
Saint-Sylvain-d’Anjou,47.5197,-0.4717,France,FR,Pays de la Loire,,4842,4842
Paron,48.1894,3.2639,France,FR,Bourgogne-Franche-Comté,,4841,4841
Saverdun,43.2344,1.5744,France,FR,Occitanie,,4841,4841
Marolles-en-Brie,48.7325,2.5508,France,FR,Île-de-France,,4839,4839
Fagnières,48.9636,4.3183,France,FR,Grand Est,,4838,4838
Saint-Mathieu,43.7697,3.8686,France,FR,Occitanie,,4836,4836
Haillicourt,50.4761,2.5847,France,FR,Hauts-de-France,,4831,4831
Le Coudray-Montceaux,48.5658,2.4861,France,FR,Île-de-France,,4831,4831
Saint-Paul-en-Jarez,45.4831,4.5744,France,FR,Auvergne-Rhône-Alpes,,4831,4831
Blaye,45.1278,-0.6622,France,FR,Nouvelle-Aquitaine,minor,4821,4821
Tresses,44.8486,-0.4639,France,FR,Nouvelle-Aquitaine,,4821,4821
La Côte-Saint-André,45.3936,5.2606,France,FR,Auvergne-Rhône-Alpes,,4820,4820
Bourbon-Lancy,46.6194,3.7733,France,FR,Bourgogne-Franche-Comté,,4820,4820
Bousbecque,50.7708,3.0786,France,FR,Hauts-de-France,,4818,4818
Morez,46.5219,6.0222,France,FR,Bourgogne-Franche-Comté,,4813,4813
La Charité,47.1769,3.0189,France,FR,Bourgogne-Franche-Comté,,4812,4812
Bégard,48.6281,-3.3008,France,FR,Bretagne,,4808,4808
Mandeure,47.4511,6.8056,France,FR,Bourgogne-Franche-Comté,,4807,4807
Nans-les-Pins,43.3706,5.7822,France,FR,Provence-Alpes-Côte d’Azur,,4802,4802
Mignaloux-Beauvoir,46.5433,0.4161,France,FR,Nouvelle-Aquitaine,,4801,4801
Fumel,44.4986,0.9672,France,FR,Nouvelle-Aquitaine,,4801,4801
Bazas,44.4319,-0.2117,France,FR,Nouvelle-Aquitaine,,4798,4798
Sainte-Marie-la-Mer,42.7272,3.0169,France,FR,Occitanie,,4797,4797
Herrlisheim,48.7303,7.9075,France,FR,Grand Est,,4796,4796
Le Fenouiller,46.7194,-1.9006,France,FR,Pays de la Loire,,4796,4796
